gene_name	geneSymbol	chrom
0610007C21Rik;Apr3	0610007C21Rik	chr5
0610007C21Rik;Apr3	Apr3	chr5
0610007L01Rik	0610007L01Rik	chr5
0610007P08Rik;Rad26l	0610007P08Rik	chr13
0610007P08Rik;Rad26l	Rad26l	chr13
0610007P14Rik	0610007P14Rik	chr12
0610007P22Rik	0610007P22Rik	chr17
0610008F07Rik	0610008F07Rik	chr2
0610009B22Rik	0610009B22Rik	chr11
0610009D07Rik	0610009D07Rik	chr12
0610009O20Rik	0610009O20Rik	chr18
0610010B08Rik;Gm14308;Gm14434	0610010B08Rik	chr2
0610010B08Rik;Gm14308;Gm14434	Gm14308	chr2
0610010B08Rik;Gm14308;Gm14434	Gm14434	chr2
0610010B08Rik;Gm14434	0610010B08Rik	chr2
0610010B08Rik;Gm14434	Gm14434	chr2
0610010F05Rik;Kiaa1841;mKIAA1841	0610010F05Rik	chr11
0610010F05Rik;Kiaa1841;mKIAA1841	Kiaa1841	chr11
0610010F05Rik;Kiaa1841;mKIAA1841	mKIAA1841	chr11
0610010K14Rik;Rnasek	0610010K14Rik	chr11
0610010K14Rik;Rnasek	Rnasek	chr11
0610010O12Rik	0610010O12Rik	chr18
0610011F06Rik	0610011F06Rik	chr17
0610011L14Rik	0610011L14Rik	chr2
0610012G03Rik	0610012G03Rik	chr16
0610012H03Rik	0610012H03Rik	chr2
0610030E20Rik	0610030E20Rik	chr6
0610031J06Rik	0610031J06Rik	chr3
0610037D15Rik;Ccdc163	0610037D15Rik	chr4
0610037D15Rik;Ccdc163	Ccdc163	chr4
0610037L13Rik	0610037L13Rik	chr4
0610037P05Rik	0610037P05Rik	chr16
0610038B21Rik;AK166159	0610038B21Rik	chr8
0610038B21Rik;AK166159	AK166159	chr8
0610038F07Rik;Sdhaf2	0610038F07Rik	chr19
0610038F07Rik;Sdhaf2	Sdhaf2	chr19
0610039K10Rik	0610039K10Rik	chr2
0610040B10Rik	0610040B10Rik	chr5
0610040J01Rik	0610040J01Rik	chr5
0910001L09Rik	0910001L09Rik	chr5
100039707;AK149842;Gm2382	100039707	chr9
100039707;AK149842;Gm2382	AK149842	chr9
100039707;AK149842;Gm2382	Gm2382	chr9
100042579;Gm10902;Gm17002	100042579	chr14
100042579;Gm10902;Gm17002	Gm10902	chr14
100042579;Gm10902;Gm17002	Gm17002	chr14
100043387	100043387	chr2
1100001G20Rik	1100001G20Rik	chr11
1110001A07Rik;Fam33a	1110001A07Rik	chr11
1110001A07Rik;Fam33a	Fam33a	chr11
1110001A16Rik	1110001A16Rik	chr17
1110001J03Rik	1110001J03Rik	chr6
1110002B05Rik;Mir1892	1110002B05Rik	chr12
1110002B05Rik;Mir1892	Mir1892	chr12
1110002L01Rik	1110002L01Rik	chr12
1110002N22Rik	1110002N22Rik	chr11
1110003E01Rik	1110003E01Rik	chr5
1110004E09Rik	1110004E09Rik	chr16
1110004F10Rik	1110004F10Rik	chr7
1110005A03Rik	1110005A03Rik	chr11
1110005A23Rik;Sarnp	1110005A23Rik	chr10
1110005A23Rik;Sarnp	Sarnp	chr10
