chrom	start	end	strand	gene_name
chr12	87165494	87165495	-1	0610007P14Rik
chr11	51502135	51502136	-1	0610009B22Rik
chr18	38409902	38409903	1	0610009O20Rik
chr2	176266768	176266769	1	0610010B08Rik
chr2	175163712	175163713	-1	0610010B08Rik;Gm4724
chr2	175261277	175261278	-1	0610010B08Rik;Gm4724
chr11	23533630	23533631	-1	0610010F05Rik
chr11	70051971	70051972	-1	0610010K14Rik;Rnasek
chr11	70053331	70053332	-1	0610010K14Rik;Rnasek
chr11	70053353	70053354	-1	0610010K14Rik;Rnasek
chr17	26012444	26012445	1	0610011F06Rik
chr16	31948606	31948607	-1	0610012G03Rik
chr6	72297310	72297311	1	0610030E20Rik
chr4	107562503	107562504	1	0610037L13Rik
chr4	107562467	107562468	1	0610037L13Rik
chr8	80040954	80040955	1	0610038B21Rik;AK166159
chr8	80042013	80042014	1	0610038B21Rik;AK166159
chr2	163470585	163470586	1	0610039K10Rik
chr5	144090986	144090987	1	0610040B10Rik
chr5	64203733	64203734	1	0610040J01Rik
chr6	38484860	38484861	1	1110001J03Rik
chr12	3426746	3426747	-1	1110002L01Rik
chr16	90935093	90935094	-1	1110004E09Rik
chr7	123236893	123236894	1	1110004F10Rik
chr7	123236854	123236855	1	1110004F10Rik
chr5	116081824	116081825	-1	1110006O24Rik
chr2	156688857	156688858	1	1110008F13Rik
chr12	56403623	56403624	1	1110008L16Rik
chr2	32237434	32237435	-1	1110008P14Rik
chrX	67639087	67639088	1	1110012L19Rik
chr4	41464365	41464366	-1	1110017D15Rik
chr4	41454796	41454797	-1	1110017D15Rik
chr17	85357049	85357050	-1	1110020A21Rik
chr9	50576256	50576257	-1	1110032A03Rik
chr9	50574037	50574038	-1	1110032A03Rik
chr3	68673507	68673508	1	1110032F04Rik
chr2	132516018	132516019	1	1110034G24Rik
chr2	132512617	132512618	1	1110034G24Rik
chr4	11413104	11413105	1	1110037F02Rik
chr17	35089415	35089416	-1	1110038B12Rik
chr15	76778973	76778974	1	1110038F14Rik
chr15	76778938	76778939	1	1110038F14Rik
chr15	76779058	76779059	1	1110038F14Rik
chr2	91284798	91284799	-1	1110051M20Rik
chr19	21727280	21727281	-1	1110059E24Rik
chr9	122860117	122860118	-1	1110059G10Rik
chr4	124527973	124527974	-1	1110065P20Rik
chr9	94438499	94438500	-1	1190002N15Rik
chr13	64599099	64599100	-1	1190003K10Rik
chr8	123158281	123158282	-1	1190005I06Rik;Emc8;Emc8-1190005i06rik
chr10	82085972	82085973	-1	1190007I07Rik
chr9	103190626	103190627	-1	1300017J02Rik
chr3	88636408	88636409	-1	1500004A13Rik;AK014401
chr15	82086452	82086453	1	1500009C09Rik
chr15	82082826	82082827	1	1500009C09Rik
chr10	83185609	83185610	1	1500009L16Rik
chr5	115263984	115263985	-1	1500011B03Rik
chr2	127618223	127618224	-1	1500011K16Rik
chr18	61886043	61886044	1	1500015A07Rik
chr1	43787446	43787447	1	1500015O10Rik
chr19	36763968	36763969	-1	1500017E21Rik
chr19	36780130	36780131	-1	1500017E21Rik
chr17	24357713	24357714	-1	1600002H07Rik
chr17	24357559	24357560	-1	1600002H07Rik
chr10	79635688	79635689	1	1600002K03Rik
chr17	15080188	15080189	1	1600012H06Rik
chr1	160910593	160910594	-1	1600012P17Rik
chr7	38968805	38968806	1	1600014C10Rik
chr7	38968235	38968236	1	1600014C10Rik
chr17	45870792	45870793	-1	1600014C23Rik
chr6	48879894	48879895	1	1600015I10Rik
chr9	99370839	99370840	1	1600029I14Rik;Nme9
chr9	58050703	58050704	1	1600029O15Rik
chr5	30768449	30768450	1	1700001C02Rik
chr17	47574323	47574324	-1	1700001C19Rik
chr17	47551659	47551660	-1	1700001C19Rik
chr14	43694108	43694109	-1	1700001F09Rik
chr14	44026343	44026344	-1	1700001F09Rik
chr1	33726668	33726669	1	1700001G17Rik
chr5	146996879	146996880	-1	1700001J03Rik
chr9	39858142	39858143	1	1700001J11Rik
chr12	111920828	111920829	-1	1700001K19Rik
chr19	53329694	53329695	-1	1700001K23Rik
chr15	83197726	83197727	-1	1700001L05Rik
chr13	68736315	68736316	1	1700001L19Rik
chr2	30657226	30657227	-1	1700001O22Rik
chr2	30659176	30659177	-1	1700001O22Rik
chr11	97637231	97637232	-1	1700001P01Rik
chr6	83106397	83106398	1	1700003E16Rik
chr2	154374639	154374640	1	1700003F12Rik
chr7	123236662	123236663	-1	1700003G18Rik
chr3	124284008	124284009	-1	1700003H04Rik
chr3	124128945	124128946	-1	1700006A11Rik
chr11	101848369	101848370	1	1700006E09Rik
chr8	77972592	77972593	1	1700007B14Rik
chr5	98758322	98758323	1	1700007G11Rik
chr7	138473012	138473013	-1	1700007K09Rik
chr2	28321843	28321844	-1	1700007K13Rik
chr7	134656382	134656383	-1	1700008J07Rik
chr7	51630399	51630400	-1	1700008O03Rik
chr3	6620442	6620443	-1	1700008P02Rik
chr10	77356164	77356165	1	1700009J07Rik
chr4	39397325	39397326	1	1700009N14Rik
chr2	173544915	173544916	1	1700010B08Rik
chrX	92928599	92928600	-1	1700010D01Rik
chr5	98996022	98996023	-1	1700010H22Rik
chr17	9181197	9181198	1	1700010I14Rik
chr15	101278175	101278176	1	1700011A15Rik
chr17	87827080	87827081	-1	1700011E24Rik
chr14	49865102	49865103	-1	1700011H14Rik
chr18	57693479	57693480	1	1700011I03Rik
chr8	81772481	81772482	-1	1700011L22Rik
chrX	100104243	100104244	1	1700011M02Rik
chr6	32000287	32000288	1	1700012A03Rik
chr11	109689359	109689360	-1	1700012B07Rik
chr9	14575473	14575474	-1	1700012B09Rik
chr10	127114120	127114121	1	1700012D01Rik;Tmem194
chr10	127104199	127104200	1	1700012D01Rik;Tmem194
chr7	118266188	118266189	-1	1700012D14Rik;AK031468
chr7	118266204	118266205	-1	1700012D14Rik;AK031468
chrX	8860889	8860890	1	1700012L04Rik
chr4	144028674	144028675	-1	1700012P22Rik
chr6	124307103	124307104	-1	1700013D24Rik
chr3	108340501	108340502	1	1700013F07Rik
chr4	137009210	137009211	1	1700013G24Rik
chrX	51061007	51061008	-1	1700013H16Rik
chr1	172238991	172238992	1	1700015E13Rik
chr5	5479142	5479143	-1	1700015F17Rik
chr7	59271085	59271086	-1	1700015G11Rik
chr1	179659944	179659945	1	1700016C15Rik
chr8	11678749	11678750	-1	1700016D06Rik
chr5	104084750	104084751	-1	1700016H13Rik
chr5	104084742	104084743	-1	1700016H13Rik
chr11	75813413	75813414	1	1700016K19Rik
chr9	57110405	57110406	-1	1700017B05Rik
chr19	11205367	11205368	-1	1700017D01Rik
chr10	100055019	100055020	1	1700017N19Rik
chr13	31674381	31674382	-1	1700018A04Rik
chr8	124065853	124065854	-1	1700018B08Rik
chr3	48413021	48413022	-1	1700018B24Rik
chr3	48413022	48413023	-1	1700018B24Rik
chr4	63283462	63283463	-1	1700018C11Rik
chr4	63283448	63283449	-1	1700018C11Rik
chr5	145803858	145803859	1	1700018F24Rik
chr19	29121972	29121973	1	1700018L02Rik
chr1	53244460	53244461	-1	1700019A02Rik
chr8	3470861	3470862	1	1700019B03Rik
chr1	53009683	53009684	-1	1700019D03Rik
chr1	53020103	53020104	-1	1700019D03Rik
chr12	97285431	97285432	-1	1700019M22Rik
chr19	58868903	58868904	-1	1700019N19Rik
chr1	88322903	88322904	1	1700019O17Rik
chr2	130230994	130230995	1	1700020A23Rik
chr2	130231031	130231032	1	1700020A23Rik
chr19	5503786	5503787	-1	1700020D05Rik
chr2	119420031	119420032	1	1700020I14Rik
chr11	83251195	83251196	1	1700020L24Rik
chr10	21312950	21312951	1	1700020N01Rik
chr1	93302605	93302606	-1	1700020N18Rik
chr10	43260799	43260800	-1	1700021F05Rik
chr2	173348092	173348093	1	1700021F07Rik
chr5	24151270	24151271	1	1700022A21Rik
chr4	42982817	42982818	1	1700022I11Rik
chr11	103062788	103062789	-1	1700023F06Rik
chr13	3477548	3477549	1	1700024F13Rik;2810429I04Rik
chr13	3477505	3477506	1	1700024F13Rik;2810429I04Rik
chr14	33201558	33201559	-1	1700024G13Rik
chr13	99754519	99754520	-1	1700024P04Rik
chr4	104586060	104586061	1	1700024P16Rik
chr2	164916249	164916250	-1	1700025C18Rik
chr19	11239809	11239810	-1	1700025F22Rik
chr1	153937449	153937450	-1	1700025G04Rik
chr2	132316463	132316464	1	1700026D11Rik
chr2	28555170	28555171	-1	1700026L06Rik
chr7	29281959	29281960	1	1700028B04Rik
chr7	51491491	51491492	-1	1700028J19Rik
chr7	51487925	51487926	-1	1700028J19Rik
chr5	107963729	107963730	1	1700028K03Rik;A830010M20Rik
chr5	107926763	107926764	1	1700028K03Rik;A830010M20Rik
chr5	107936639	107936640	1	1700028K03Rik;A830010M20Rik
chr3	83378039	83378040	-1	1700028M03Rik
chr19	23727301	23727302	-1	1700028P14Rik
chr13	97804316	97804317	-1	1700029F12Rik
chr8	13562447	13562448	-1	1700029H14Rik
chr2	92223074	92223075	1	1700029I15Rik
chr8	47060605	47060606	-1	1700029J07Rik
chr8	47060598	47060599	-1	1700029J07Rik
chr4	135182569	135182570	1	1700029M20Rik
chr15	81810974	81810975	1	1700029P11Rik
chr12	20821639	20821640	-1	1700030C10Rik
chr15	99762088	99762089	-1	1700030F18Rik
chr8	119502842	119502843	-1	1700030J22Rik
chr8	119502858	119502859	-1	1700030J22Rik
chr8	74967778	74967779	1	1700030K09Rik
chr8	74968648	74968649	1	1700030K09Rik
chrX	100061691	100061692	-1	1700031F05Rik
chr6	88173632	88173633	-1	1700031F10Rik
chr15	98228875	98228876	1	1700031M16Rik
chr15	98232653	98232654	1	1700031M16Rik
chr18	52805873	52805874	1	1700034E13Rik
chr1	193731405	193731406	-1	1700034H15Rik;AK076925
chr1	193725599	193725600	-1	1700034H15Rik;AK076925
chr1	193723007	193723008	-1	1700034H15Rik;AK076925
chr3	40706464	40706465	-1	1700034I23Rik
chr6	146902942	146902943	-1	1700034J05Rik
chr6	41634429	41634430	1	1700034O15Rik
chr16	3908688	3908689	-1	1700037C18Rik
chr16	3907756	3907757	-1	1700037C18Rik
chr2	130985755	130985756	-1	1700037H04Rik
chr7	52538095	52538096	1	1700039E15Rik
